title,summary,also_called,group,primary_institute
Trasplante de hígado,"El hígado es el órgano de mayor tamaño dentro del cuerpo. Ayuda al organismo a digerir los alimentos, almacena energía y elimina toxinas. No se puede vivir sin un hígado que funcione bien. Si el hígado falla, el médico puede colocarlo en una lista de espera para un trasplante de hígado. Los médicos realizan trasplantes cuando otros tratamientos no logran mantener el funcionamiento de un hígado dañado. Durante un trasplante de hígado, el cirujano extrae el hígado enfermo y lo reemplaza con uno sano. La mayoría de los hígados provienen de un donante fallecido. A veces hay un donante vivo, que es cuando una persona dona parte de su hígado a un paciente en particular. La razón más común para un trasplante en adultos es la cirrosis , en la cual el hígado presenta tejido cicatricial. En los niños, la razón más común es la atresia biliar, una enfermedad de los conductos biliares . Si tiene un trasplante, deberá tomar medicamentos por el resto de su vida para impedir que su cuerpo rechace al nuevo órgano. NIH: Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales",Trasplante hepático,"Sistema digestivo, Transplantes y donaciones",Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales
Trasplante de médula ósea,"La médula ósea es el tejido esponjoso dentro de algunos de sus huesos, como la cadera y el fémur. Contiene células inmaduras llamadas células madre. Las células madre pueden desarrollarse hasta ser glóbulos rojos que transportan oxígeno a su cuerpo, glóbulos blancos que combaten las infecciones y plaquetas que ayudan a la coagulación de la sangre. Un trasplante de médula ósea es un procedimiento que reemplaza las células madre defectuosas de la médula ósea de una persona. Los médicos utilizan estos trasplantes para tratar a personas con ciertas enfermedades, como: Leucemia Enfermedades graves de la sangre como las talasemias , anemia aplásica y anemia falciforme Mieloma múltiple Ciertas enfermedades inmunitarias Antes de someterse a un trasplante, usted necesita someterse a altas dosis de quimioterapia y posiblemente radiación. Esto destruye las células madre dañadas en la médula ósea. También suprime el sistema inmunitario del cuerpo para que no ataque a las nuevas células madre después del trasplante. En algunos casos, usted puede donar sus propias células madre de médula ósea con antelación. Las células se guardan y se usan más adelante. También puede obtener células madre de un donante. El donante puede ser un miembro de su familia o una persona no relacionada. El trasplante de médula ósea tiene riesgos graves. Algunas complicaciones pueden ser potencialmente mortales. Sin embargo, para algunas personas es la mejor esperanza para una cura o una vida más larga. NIH: Instituto Nacional del Corazón, los Pulmones y la Sangre",,"Sistema inmunitario, Transplantes y donaciones",Instituto Nacional del Cáncer
Trasplante de pulmón,"El trasplante de pulmón es una cirugía para reemplazar uno o ambos pulmones enfermos por pulmones sanos de un donante. Durante la operación, el cirujano hace un corte en el pecho y extirpa el pulmón enfermo. Después, el cirujano cose el pulmón nuevo a los vasos sanguíneos principales y las vías respiratorias. El médico puede recomendarle un trasplante de pulmón si tiene una enfermedad que no puede controlarse de otro modo. Estas enfermedades incluyen: EPOC (enfermedad pulmonar obstructiva crónica) Fibrosis quística Fibrosis pulmonar idiopática Enfermedad pulmonar intersticial Hipertensión pulmonar primaria Las complicaciones del trasplante de pulmón incluyen rechazo del pulmón trasplantado e infecciones.",Trasplante de pulmón,"Pulmón y vías respiratorias, Transplantes y donaciones","Instituto Nacional del Corazón, los Pulmones y la Sangre"
Trasplante de páncreas,"El páncreas es una glándula localizada detrás del estómago y por delante de la columna. Produce jugos que ayudan a descomponer los alimentos y hormonas que ayudan a controlar los niveles de azúcar en la sangre. El trasplante de páncreas es una cirugía para colocar un páncreas sano de un donante en una persona con un páncreas enfermo. Este trasplante es más común en personas con diabetes tipo 1 grave y permite que las personas con esta enfermedad no dependan de las inyecciones de insulina. Un procedimiento experimental llamado trasplante de células de los islotes trasplanta sólo las partes del páncreas que producen la insulina. Las personas a quienes se les hace un trasplante deben tomar medicamentos el resto de sus vidas para impedir que sus cuerpos rechacen el páncreas nuevo. También deben visitar al médico regularmente para su cuidado. Debido a los riesgos, no es un tratamiento común para la diabetes 1.",,"Sistema digestivo, Sistema endocrino, Transplantes y donaciones",Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales
Trasplante de riñón,"Un trasplante renal es una operación para colocarle un riñón sano en su cuerpo. El riñón trasplantado asume la función de los riñones deficientes y usted no necesitará más tratamiento con diálisis . Durante un trasplante, el cirujano coloca el riñón nuevo en la parte inferior del abdomen y conecta la arteria y la vena renales del mismo a las de su riñón. Con frecuencia, el riñón nuevo comenzará a producir orina en cuanto la sangre comience a fluir a través de él. Pero algunas veces necesita algunas semanas para empezar a funcionar. Muchos riñones trasplantados vienen de donantes que fallecen. Algunos provienen de familiares en vida. La espera de un riñón nuevo puede ser larga. Las personas a quienes se les haya hecho un trasplante deben tomar medicamentos el resto de sus vidas para impedir que su organismo rechace el riñón trasplantado. NIH: Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales",Trasplante renal,"Riñones y sistema urinario, Transplantes y donaciones",Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales
Trasplante de órganos,"Usted puede necesitar un trasplante de órganos si uno de sus órganos no cumple con sus funciones. Esto puede ocurrir a causa de una enfermedad o lesión. Cuando se le realiza un trasplante de órganos, los médicos extirpan un órgano de otra persona y lo colocan en su cuerpo. El órgano puede provenir de un donante vivo o muerto. : Corazón Intestino Riñón Hígado Pulmón Páncreas Las personas que necesitan un trasplante de órganos suelen tener que esperar el órgano durante un largo tiempo. Los médicos deben hacer coincidir a los donantes con los beneficiarios para reducir el riesgo de rechazo del trasplante. Eso ocurre cuando el cuerpo de quien recibe el órgano (beneficiario) niega el órgano nuevo, provocando que no funcione correctamente. Las personas a quienes se les realizó algún trasplante deben tomar medicamentos por el resto de sus vidas para ayudar a impedir que sus cuerpos rechacen el órgano nuevo.",,Transplantes y donaciones,
Trastorno afectivo estacional,"El trastorno afectivo estacional es un tipo de depresión que va y viene con las estaciones. Por lo general, comienza a finales de otoño y principios del invierno y desaparece durante la primavera y el verano. Algunas personas tienen episodios de depresión que comienzan en la primavera o el verano, pero eso es mucho menos común. Los síntomas pueden incluir: Tristeza Perspectiva sombría Sentimientos de desesperanza, pesimismo e irritación Pérdida de interés en actividades que antes solía disfrutar Poca energía Dificultad para dormir o dormir demasiado Deseos de comer carbohidratos y aumento de peso Pensamientos de muerte o suicidio El trastorno afectivo estacional es más común en las mujeres, los jóvenes y los que viven lejos del ecuador. También es más probable que lo sufra si usted o miembros de su familia tienen depresión. Se desconocen las causas exactas del trastorno. Los investigadores han encontrado que quienes la sufren pueden tener un desequilibrio de serotonina, un químico del cerebro que afecta su estado de ánimo. Sus cuerpos también producen demasiada melatonina, una hormona que regula el sueño, y no suficiente vitamina D. El tratamiento principal para el trastorno es la terapia de luz (fototerapia). La idea es reemplazar la luz del sol que se pierde durante los meses de otoño e invierno. Usted se sienta delante de una caja de fototerapia cada mañana para exponerse en forma diaria a la luz artificial brillante. Pero casi la mitad de algunas personas con el trastorno no responden a la terapia de luz sola. Los medicamentos antidepresivos y terapia de conversación pueden reducir los síntomas del trastorno afectivo estacional, ya sea solos o combinados con fototerapia. NIH: Instituto Nacional de la Salud Mental","Depresión de invierno, Depresión estacional",Salud mental y conducta,Instituto Nacional de la Salud Mental
Trastorno bipolar,"¿Qué es el trastorno bipolar? El trastorno bipolar es una afección del estado de ánimo que puede provocar cambios de ánimo intensos: En ocasiones puede sentirse extremadamente ""animado"", eufórico, irritable o con energía. Esto se conoce como episodio maníaco Otras veces puede sentirse deprimido, triste, indiferente o desesperanzado. A esto se le llama episodio depresivo Puede tener síntomas maníacos y depresivos a la vez, también conocido como episodio mixto Junto con los cambios de ánimo, el trastorno bipolar provoca cambios en el comportamiento, los niveles de energía y los niveles de actividad. El trastorno bipolar solía tener otros nombres, como depresión maníaca y trastorno maniacodepresivo. ¿Cuáles son los tipos de trastorno bipolar? Hay tres tipos principales de trastorno bipolar: El trastorno bipolar I incluye episodios maníacos que duran al menos 7 días o síntomas maníacos tan graves que necesita atención hospitalaria inmediata. Los episodios depresivos también son frecuentes. Suelen durar al menos dos semanas. Este tipo de trastorno bipolar también puede implicar episodios mixtos El trastorno bipolar II se define por episodios depresivos, pero en lugar de graves episodios maníacos, se presentan episodios hipomaníacos. La hipomanía es una versión menos grave de la manía El trastorno ciclotímico o ciclotimia también presenta síntomas hipomaníacos y depresivos, pero no son tan intensos o duraderos como los episodios hipomaníacos o depresivos. Los síntomas suelen durar al menos dos años en adultos y un año en niños y adolescentes Con cualquiera de estos tipos, un paciente que tenga cuatro o más episodios de manía o depresión en un año se conoce como ""ciclador rápido"". ¿Qué causa el trastorno bipolar? No se conoce la causa exacta del trastorno bipolar. Es probable que varios factores influyan en esta afección, incluyendo la genética, la estructura y función del cerebro y su ambiente. ¿Quiénes corren el riesgo de tener un trastorno bipolar? Usted tiene un mayor riesgo de trastorno bipolar si tiene un familiar cercano que lo padece. Pasar por un trauma o eventos estresantes en la vida puede aumentar aún más este riesgo. ¿Cuáles son los síntomas del trastorno bipolar? Los síntomas del trastorno bipolar pueden variar, pero involucran cambios de ánimo conocidos como episodios anímicos: Los síntomas de un episodio maníaco pueden incluir: Sentirse muy optimista, eufórico o animado Sentirse nervioso o acelerado, más activo de lo habitual Tener muy mal genio o parecer extremadamente irritable Sentir que los pensamientos van muy rápido, lo mismo al hablar Dormir menos Sentirse inusualmente importante, talentoso o poderoso Hacer cosas arriesgadas que muestren falta de juicio, como comer y beber demasiado, gastar o regalar mucho dinero o tener relaciones sexuales poco seguras Los síntomas de un episodio depresivo pueden incluir: Sentirse muy triste, desesperanzado o inútil Sentirse solo o aislarse de los demás Hablar muy despacio, sentir que no tiene nada que decir u olvidar mucho Tener poca energía Dormir demasiado Comer demasiado o muy poco Falta de interés en sus actividades habituales y no poder hacer cosas simples Pensar en la muerte o el suicidio Un episodio mixto incluye síntomas maníacos y depresivos. Por ejemplo, puede sentirse muy triste, vacío o desesperanzado, mientras que al mismo tiempo se siente extremadamente lleno de energía Algunas personas con trastorno bipolar pueden tener síntomas más leves. Por ejemplo, puede tener hipomanía en lugar de manía. En la hipomanía, puede sentirse muy bien y descubrir que puede hacer mucho. Puede que no sienta que algo anda mal. Pero su familia y amigos pueden notar sus cambios de ánimo y en sus niveles de actividad. Es posible que se den cuenta de que su comportamiento es inusual para usted. Después de la hipomanía, es posible que tenga una depresión grave. Los episodios de estado de ánimo pueden durar una semana o dos o en ocasiones más. En general, los síntomas de un episodio se presentan todos los días durante la mayor parte del día. ¿Cómo se diagnostica el trastorno bipolar? Para diagnosticar el trastorno bipolar, su profesional de la salud puede usar muchas herramientas: Un examen físico Su historia clínica, incluyendo preguntas sobre sus síntomas, historial de vida, experiencias e historia familiar Pruebas médicas para descartar otras afecciones Una evaluación de salud mental. Su proveedor puede realizar la evaluación o puede derivarlo a un especialista en salud mental para evaluarlo ¿Cuáles son los tratamientos para el trastorno bipolar? El tratamiento puede ayudar a muchas personas, incluyendo aquellas con las formas más graves de trastorno bipolar. Los principales tratamientos para el trastorno bipolar incluyen medicamentos, psicoterapia o ambos: Los medicamentos pueden ayudar a controlar los síntomas del trastorno bipolar. Es posible que deba probar varios medicamentos diferentes para encontrar cuál funciona mejor para usted. Algunas personas necesitan tomar más de un medicamento. Es importante tomar su medicamento de manera constante. No deje de tomarlo sin antes hablar con su proveedor. Contacte a su profesional de la salud si tiene alguna pregunta sobre los efectos secundarios de los medicamentos La psicoterapia (terapia de conversación) puede ayudarlo a reconocer y cambiar emociones, pensamientos y comportamientos preocupantes. Puede brindarle a usted y su familia apoyo, educación, habilidades y estrategias para enfrentar el trastorno. Existen varios tipos diferentes de psicoterapia que pueden ayudar con el trastorno bipolar Otras opciones de tratamiento incluyen: Terapia electroconvulsiva : Procedimiento de estimulación cerebral que puede ayudar a aliviar los síntomas. Utiliza una corriente eléctrica suave y se realiza bajo anestesia general. Esta terapia se utiliza con mayor frecuencia para el trastorno bipolar grave que no mejora con otros tratamientos. También se puede usar cuando alguien necesita un tratamiento que funcione más rápidamente que los medicamentos. Esto podría suceder cuando una persona tiene un alto riesgo de suicidio o es catatónica (no responde) Estimulación magnética transcraneal repetitiva (EMTr) : Procedimiento de estimulación cerebral que utiliza ondas magnéticas para aliviar la depresión. No es tan potente como la terapia electroconvulsiva, pero con la EMTr no se necesita anestesia general. También tiene un bajo riesgo de efectos negativos en la memoria y el pensamiento Fototerapia : Se ha demostrado eficaz para el trastorno afectivo estacional (TAE). Muchas personas con trastorno bipolar también descubren que su depresión empeora durante ciertas estaciones, generalmente en otoño e invierno. La fototerapia puede ayudar con los síntomas Cambios saludables en el estilo de vida : Esto incluye hacer ejercicio con regularidad, tener un horario de sueño constante y llevar un diario del estado de ánimo, lo que también pueden ayudar con los síntomas El trastorno bipolar es una enfermedad de por vida. Pero el tratamiento continuo a largo plazo puede ayudar a controlar sus síntomas y permitir vivir una vida saludable y exitosa. NIH: Instituto Nacional de la Salud Mental",Enfermedad maniaco-depresiva,Salud mental y conducta,Instituto Nacional de la Salud Mental
Trastorno de déficit de atención e hiperactividad,"¿Qué es el trastorno de déficit de atención e hiperactividad (TDAH)? El TDAH es un trastorno del neurodesarrollo. Por lo general, se diagnostica por primera vez en la infancia y, a menudo, dura hasta la edad adulta. Sin embargo, a algunas personas no se les diagnostica el trastorno hasta que son adultas. El TDAH implica: Tener problemas para prestar atención (falta de atención) Tener problemas para controlar conductas impulsivas (impulsividad) Ser demasiado activo (hiperactividad) ¿Cuáles son los tipos de trastorno de déficit de atención e hiperactividad (TDAH)? Hay tres tipos de TDAH: TDAH predominantemente inatento : Las personas con este tipo de TDAH tienen problemas para prestar atención y se distraen con facilidad. Les cuesta organizarse o terminar las tareas. Pueden tener problemas para seguir instrucciones o conversaciones TDAH predominantemente hiperactivo e impulsivo : Las personas con este tipo de TDAH tienen síntomas tanto de hiperactividad como de impulsividad: Con hiperactividad : Las personas sienten la necesidad de estar siempre en movimiento. Tienen problemas para quedarse quietas y pueden ser inquietas y/o hablar demasiado Con impulsividad : Las personas tienen problemas para controlar sus acciones y palabras. Tienden a actuar sobre ideas o sentimientos repentinos sin pensar en las posibles consecuencias. Pueden interrumpir mucho a los demás o tener problemas para esperar su turno TDAH combinado : Las personas con este tipo de TDAH tienen una combinación de síntomas de falta de atención e hiperactividad-impulsividad. El TDAH combinado es el más común A veces es normal tener problemas para prestar atención o quedarse quieto, especialmente en los niños. Pero, en ocasiones, las personas con TDAH tienen síntomas más graves que pueden causar problemas serios, como malas calificaciones para los niños o la pérdida del trabajo para los adultos. Los síntomas son continuos y también pueden afectar la vida familiar y social. ¿Qué causa el trastorno de déficit de atención e hiperactividad (TDAH)? Se desconoce la causa exacta del TDAH. Probablemente es el resultado de una combinación de factores, como la genética y el entorno. Los investigadores están analizando posibles factores ambientales que podrían aumentar el riesgo de tener TDAH. Estos factores incluyen lesiones cerebrales, nutrición y entornos sociales. ¿Cuáles son los síntomas del trastorno de déficit de atención e hiperactividad (TDAH)? Los síntomas dependen del tipo de TDAH que tenga una persona. Las personas con síntomas de problemas de atención con frecuencia: No se fijan en detalles o cometen errores por descuido en la escuela, el trabajo o en otras actividades Tienen problemas para concentrarse en actividades de juego o tareas laborales No parecen escuchar cuando se le habla directamente Les resulta difícil seguir instrucciones o terminar tareas, o pueden comenzar, pero se desconcentran fácilmente Tienen problemas para organizarse, mantener sus pertenencias en orden y administrar el tiempo Evitan realizar tareas que requieren largos períodos de esfuerzo mental Pierden artículos importantes como libros, billeteras, llaves, anteojos y celulares Olvidan hacer las actividades diarias A menudo, quienes tienen TDHA con síntomas de hiperactividad-impulsividad pueden: Estar inquietos y moverse al estar sentados Pararse cuando deben permanecer sentados, como en la escuela o el trabajo Correr o trepar cuando no es apropiado (niños) o estar inquietos (adolescentes y adultos) Tener problemas para realizar actividades tranquilas Estar en constante movimiento Hablar mucho más de lo normal Dar respuestas bruscas antes de que se completen las preguntas Tener problemas para esperar su turno Interrumpir a los demás, como durante conversaciones o juegos Las personas con TDAH combinado muestran una mezcla de síntomas de falta de atención e hiperactividad-impulsividad. ¿Cómo se diagnostica el trastorno de déficit de atención e hiperactividad (TDAH)? No existe una prueba única para diagnosticar el TDAH. Un paso del proceso para diagnosticar el TDAH implica realizar un examen físico, que incluye pruebas de visión, pruebas de audición (para niños y adultos ) y otros exámenes para descartar otros problemas con síntomas parecidos al TDAH. Otros problemas con síntomas similares incluyen ansiedad , depresión , dificultades para dormir y ciertos tipos de problemas de aprendizaje . El proceso también implica un historial médico completo y antecedentes familiares. Y generalmente incluye el uso de listas de verificación de síntomas de TDAH, cuestionarios y/o preguntas de entrevista estandarizados. Estas herramientas tienen escalas de calificación (sistemas de puntuación) que ayudan al profesional de la salud a ver si los síntomas y los antecedentes de una persona se ajustan a un diagnóstico de TDAH. Para hacer un diagnóstico de TDAH, el profesional de la salud debe haber encontrado todas estas cosas: Varios síntomas de TDAH que comenzaron antes de los 12 años Varios síntomas de falta de atención y/o hiperactividad-impulsividad que han durado al menos 6 meses y causan problemas graves: Para niños de hasta 16 años, debe haber al menos 6 síntomas continuos Para los mayores de 17 años, debe haber al menos 5 síntomas continuos Síntomas que ocurren en 2 o más entornos, por ejemplo, en el hogar y en el trabajo o la escuela Síntomas que claramente obstaculizan el buen funcionamiento en la escuela, el trabajo y/o en situaciones sociales Los síntomas no son causados por otro trastorno de salud mental ¿Cuáles son los tratamientos para el trastorno de déficit de atención e hiperactividad (TDAH)? Aunque no existe cura para el TDAH, los tratamientos pueden ayudar a reducir los síntomas y mejorar el funcionamiento. El TDAH se trata comúnmente con: Medicamentos Psicoterapia (terapia de conversación), incluyendo terapia conductual Educación o capacitación para padres para brindarles las habilidades y estrategias para ayudar a sus hijos. Esto es especialmente importante para los niños más pequeños Una combinación de estos tratamientos Buenos planes de tratamiento incluyen una estrecha vigilancia, seguimiento y la realización de cambios, si es necesario, a lo largo del camino. Llevar un estilo de vida saludable, como una alimentación sana y hacer ejercicio regular , también puede ayudar a controlar los síntomas. Para los niños en edad escolar, el apoyo escolar es importante. Esto puede incluir intervenciones conductuales en el aula, como planes de manejo del comportamiento o enseñarle a su hijo habilidades organizativas y de estudio. También puede incluir adaptaciones como asientos específicos en el aula, trabajo de clase reducido o tiempo adicional en pruebas y exámenes. NIH: Instituto Nacional de la Salud Mental","Deficiencia de atención, TDAH","Niños y adolescentes, Salud mental y conducta, Cerebro y nervios",Instituto Nacional de la Salud Mental
Trastorno de estrés postraumático,"¿Qué es el trastorno de estrés postraumático (TEPT)? El trastorno de estrés postraumático (TEPT) es una afección de salud mental que algunas personas desarrollan tras experimentar o ver algún evento traumático. Este episodio puede poner en peligro la vida, como la guerra, un desastre natural , un accidente automovilístico o una agresión sexual . Pero a veces el evento no es necesariamente peligroso. Por ejemplo, la muerte repentina e inesperada de un ser querido también puede causar TEPT. Es normal sentir miedo durante y después de una situación traumática. El miedo desencadena una respuesta de ""lucha o huida"". Esta es la forma en que el cuerpo busca protegerse de posibles peligros. Causa cambios en el cuerpo, como la liberación de ciertas hormonas y aumenta el estado de alerta, la presión arterial, la frecuencia cardíaca y la respiración. Con el tiempo, normalmente la mayoría de las personas se recuperan bien. Pero las personas con TEPT no se sienten mejor. Se sienten estresados y asustados mucho después de que el trauma haya terminado. En algunos casos, los síntomas de TEPT pueden comenzar más tarde. También pueden aparecer y desaparecer con el tiempo. ¿Qué causa el trastorno de estrés postraumático? Los investigadores no saben por qué algunas personas tienen TEPT y otras no. La genética, la neurobiología, los factores de riesgo y los aspectos personales pueden afectar si tiene TEPT después de un evento traumático. ¿Quién tiene más probabilidades de tener trastorno de estrés postraumático (TEPT)? Usted puede desarrollar TEPT a cualquier edad. Muchos factores de riesgo juegan un papel en si tendrá TEPT. Estos incluyen: Su género: Las mujeres tienen más probabilidades de desarrollar TEPT Haber tenido traumas en la infancia Sentir horror, impotencia o miedo extremo Pasar por un evento traumático que dura mucho tiempo Tener poco o ningún apoyo social después del evento Sufrir estrés adicional después del evento, como la pérdida de un ser querido, dolor y lesiones, o la pérdida del trabajo o del hogar Tener antecedentes de enfermedades mentales o uso de sustancias ¿Cuáles son los síntomas del trastorno de estrés postraumático? Hay cuatro tipos de síntomas de TEPT, pero pueden no ser los mismos para todos. Cada persona experimenta síntomas a su manera. Los tipos son: Volver a experimentar los síntomas (reviviscencia) : Cuando algo le recuerda el trauma y siente ese miedo de nuevo. Ejemplos incluyen: Flashbacks: Le hacen sentir como si estuviera pasando por el evento nuevamente Pesadillas Pensamientos aterradores Síntomas de evasión : Cuando intenta evitar situaciones o personas que desencadenan recuerdos del evento traumático. Esto puede hacer que usted: Evite lugares, eventos u objetos que le recuerden la experiencia traumática. Por ejemplo, si tuvo un accidente automovilístico, podría dejar de conducir Evite pensamientos o sentimientos relacionados con el evento traumático. Por ejemplo, puede intentar mantenerse muy ocupado para evitar pensar en lo que sucedió Síntomas de hipervigilancia y reactividad : Estos pueden causar nerviosismo o estar atento al peligro. Incluyen: Sentirse fácilmente sobresaltado Sentirse tenso o ""al límite"" Tener dificultad para dormir Tener arrebatos de ira Síntomas cognitivos y del estado de ánimo : Consisten en cambios negativos en creencias y sentimientos. Incluyen: Problemas para recordar cosas importantes sobre el evento traumático Pensamientos negativos sobre usted o el mundo Sentir culpa y remordimiento Perder interés en cosas que antes disfrutaba Problemas para concentrarse Los síntomas generalmente comienzan poco después del acontecimiento traumático. Pero a veces pueden tardarse en aparecer meses o años. También pueden ir y venir por muchos años. Si sus síntomas duran más de cuatro semanas, le causan una gran angustia o interfieren con su vida laboral o personal, es posible que tenga TEPT. ¿Cómo se diagnostica el trastorno de estrés postraumático? Un profesional de la salud con experiencia en ayudar a personas con enfermedades mentales puede diagnosticar TEPT. El proveedor realizará una evaluación de salud mental y también puede hacer un examen físico. Para obtener un diagnóstico de TEPT, debe tener todos estos síntomas durante al menos un mes: Al menos un síntoma de reviviscencia Al menos un síntoma de evitación (evasión) Al menos dos síntomas de hipervigilancia y reactividad Al menos dos síntomas cognitivos y anímicos ¿Cuáles son los tratamientos para el trastorno de estrés postraumático? Los principales tratamientos para el TEPT son la terapia de conversación, medicamentos o ambos a la vez. El TEPT afecta a las personas de manera diferente, por lo que un tratamiento que funciona para alguien puede no hacerlo para otra persona. Si tiene TEPT, debe trabajar con un profesional de salud mental para encontrar el mejor tratamiento para sus síntomas.: Psicoterapia o terapia de conversación : Busca educar sobre los síntomas. Enseña a identificar qué los desencadena y cómo manejarlos. Existen diferentes tipos de terapia de conversación para el TEPT Medicamentos : Pueden ayudar con los síntomas del TEPT. Los antidepresivos pueden ayudar a controlar síntomas como la tristeza, la preocupación, la ira y la sensación de vacío interno. Otros medicamentos pueden ayudar con problemas del sueño y pesadillas ¿Se puede prevenir el trastorno de estrés postraumático? Hay ciertos factores que pueden ayudar a reducir el riesgo de desarrollar TEPT. Estos se conocen como factores de resiliencia e incluyen: Buscar el apoyo de otras personas como amigos, familiares o un grupo de apoyo Aprender a sentirse bien con su actuar ante el peligro Tener una estrategia de afrontamiento o una forma de superar el episodio traumático y aprender de él Poder actuar y responder eficazmente a pesar de sentir miedo NIH: Instituto Nacional de la Salud Mental",TEPT,Salud mental y conducta,Instituto Nacional de la Salud Mental
Trastorno de pánico,"¿Qué es el trastorno de pánico? El trastorno de pánico es un tipo de trastorno de ansiedad . Causa ataques de pánico repetidos, períodos repentinos de miedo intenso, malestar o sensación de perder el control. Estos ataques ocurren aunque no exista un peligro real. A menudo causan síntomas físicos. Por ejemplo, es posible que sienta latidos cardíacos rápidos o fuertes o piense que está sufriendo un ataque cardíaco . Si tiene ataques de pánico, no significa que vaya a desarrollar un trastorno de pánico. Muchas personas sólo tienen uno o dos ataques de pánico en su vida y mejoran sin tratamiento. Pero algunas de las personas que sufren ataques de pánico desarrollan un trastorno de pánico, es decir, tienen ataques de pánico frecuentes. Los ataques pueden ocurrir varias veces al día o tan raramente como unas pocas veces al año. Con frecuencia, las personas con trastorno de pánico se preocupan por sufrir otro ataque. Puede hacer que eviten lugares y situaciones donde tuvieron ataques de pánico en el pasado. El trastorno de pánico no pone en peligro la vida, pero puede ser perturbador y afectar su calidad de vida. Y si no se trata, a veces puede provocar otros problemas de salud, como depresión y trastornos por uso de sustancias. ¿Qué causa el trastorno de pánico? Se desconoce la causa del trastorno de pánico. Los investigadores piensan que ciertos factores pueden influir: Genética: En ocasiones, el trastorno de pánico es hereditario, pero no se sabe con certeza por qué algunos miembros de la familia lo padecen y otros no Biología y química del cerebro Su ambiente Alto nivel de estrés ¿Quién tiene más probabilidades de tener un trastorno de pánico? El trastorno de pánico es más común en mujeres que en hombres. A menudo comienza al final de la adolescencia o al comienzo de la edad adulta. En ocasiones, comienza cuando una persona está bajo mucho estrés. Las personas que han sufrido un trauma, especialmente en la infancia, tienen más probabilidades de desarrollar un trastorno de pánico. ¿Cuáles son los síntomas del trastorno de pánico? Las personas con trastorno de pánico pueden tener: Ataques de pánico repentinos y frecuentes de ansiedad y miedo abrumadores Una sensación de estar fuera de control o miedo a la muerte durante un ataque de pánico Una intensa preocupación por otro ataque de pánico Temor o evitar de lugares y situaciones donde tuvieron ataques de pánico en el pasado Síntomas físicos durante un ataque de pánico, como: Corazón palpitante o acelerado Sudoración o escalofríos Temblor o agitación Problemas para respirar Sensación de que se están ahogando Debilidad o mareos Dolor de pecho Dolor de estómago o náuseas Los ataques de pánico pueden ocurrir en cualquier momento y sin previo aviso. Pueden durar desde unos pocos minutos hasta más de una hora. ¿Cómo se diagnostica el trastorno de pánico? Para saber si tiene trastorno de pánico, su profesional de la salud: Le preguntará sobre su historia clínica y sus síntomas Puede verificar si un problema físico no relacionado está causando sus síntomas, por ejemplo con: Un examen físico Análisis de sangre para detectar problemas de tiroides y otras posibles afecciones Pruebas de la salud del corazón Puede hacer una prueba de trastorno de pánico Puede derivarlo a un profesional de salud mental para la prueba de trastorno de pánico u otros tipos de evaluaciones psicológicas ¿Cuáles son los tratamientos para el trastorno de pánico? El tratamiento para el trastorno de pánico suele incluir uno o más de los siguientes: Terapia de conversación , también llamada psicoterapia o asesoramiento, que puede ayudarle a comprender sus sentimientos Puede incluir terapia cognitivo-conductual , un tipo de terapia de conversación que ayuda a cambiar los pensamientos negativos o la forma en que reacciona ante las cosas que le provocan ansiedad Medicamentos , incluyendo: Antidepresivos , como los inhibidores selectivos de la recaptación de serotonina y los inhibidores de la recaptación de serotonina y norepinefrina Medicamentos contra la ansiedad Su profesional de la salud también puede sugerirle que siga un estilo de vida saludable, lo que puede ayudar con el trastorno de pánico. Esto puede incluir: Evitar el alcohol Reducir la cafeína Comer comidas regulares Dormir bien Hacer ejercicio regularmente Unirse a un grupo de apoyo también puede ayudar. Los grupos de apoyo pueden hacerle sentir que no está solo y es posible que aprenda nuevas sugerencias sobre cómo afrontar la situación. NIH: Instituto Nacional de la Salud Mental",Ataques de pánico,Salud mental y conducta,Instituto Nacional de la Salud Mental
